V1,V2,V3,V4,V5,V6
7328.276,7350.0776,7362.3438,7386.0654,7401.6,7417.6616
1564.3033,1590.6671,1614.1108,1621.1565,1660.6725,1716.6179
8593.902,8836.243,9106.716,9274.343,9536.551,9764.613
9823.809,10091.997,10370.979,10600.445,10859.068,11099.838
7136.9956,7457.8613,7754.249,7932.784,8229.9375,8578.254
4039.834,4204.29,4433.6567,4557.7207,4742.206,4931.1064
3516.1052,3622.262,3786.9912,3837.4834,4010.7803,4139.513
2390.5845,2388.0151,2392.9492,2393.949,2392.873,2395.0908
2291.3867,2313.2996,2351.2134,2365.8809,2396.8713,2422.71
2238.2646,2240.7454,2263.1685,2262.8845,2279.9438,2295.5237
1483.5387,1497.572,1519.5514,1530.2831,1547.947,1565.2943
2006.7234,2063.1792,2127.5894,2161.0195,2215.477,2269.4656
5003.093,5101.0757,5291.0776,5414.367,5603.162,5755.5845
5221.0415,5305.9404,5422.2275,5507.249,5625.779,5725.3467
5594.7456,5706.58,5919.424,6025.908,6222.432,6385.815
2749.2397,2815.8184,2884.7922,2900.9153,2990.438,3014.5461
3909.0051,3972.9697,4068.3533,4112.5894,4228.7896,4294.9336
3281.621,3332.4248,3399.2612,3416.2356,3485.6497,3517.0952
2804.607,3017.8389,3314.874,3413.647,3577.8015,3910.314
6463.681,6588.842,6729.0503,6841.1406,6935.5664,7072.098
9275.22,9705.648,10102.294,10433.844,10698.885,11085.451
4063.0376,4174.1094,4377.732,4466.774,4599.1914,4728.304
9162.144,9264.383,9331.761,9384.324,9490.644,9667.7295
8208.952,8322.055,8500.397,8604.554,8783.437,9049.592
2283.3699,2355.18,2439.729,2507.25,2543.1125,2620.423
6825.741,6981.0166,7300.047,7376.0576,7706.4326,7810.521
1668.9143,1712.5917,1774.8765,1798.255,1862.5217,1907.1222
1616.8406,1647.894,1691.2959,1711.4077,1762.2687,1799.2998
4056.892,4079.8647,4148.1504,4167.256,4221.6724,4253.125
4484.0063,4596.7173,4710.431,4763.1074,4876.1973,4987.0586
3644.8142,3654.312,3663.3206,3668.3928,3671.3713,3702.8416
5377.0684,5442.046,5555.153,5584.314,5692.085,5773.407
1255.7379,1274.6819,1291.99,1300.9587,1314.8928,1330.9001
1653.4495,1669.0112,1693.0625,1694.8894,1710.8646,1741.8737
3391.5664,3447.9756,3548.1504,3592.1694,3669.5828,3746.4297
1137.4315,1144.0746,1157.6794,1160.1182,1173.9474,1184.6077
3950.1946,4021.9072,4131.2734,4181.6846,4275.7905,4362.222
4962.5225,5326.013,4702.288,4851.5283,5049.7905,5107.1924
3806.643,3875.431,3947.796,4038.6685,4079.3477,4196.4854
4866.5347,5028.494,5200.3115,5321.116,5492.291,5613.0864
14802.596,15132.053,15364.998,15597.542,15878.58,16046.205
5816.788,6142.3643,6519.169,6722.867,7103.962,7494.4575
2976.02,3120.5776,3293.276,3394.3403,3566.536,3746.3022
10111.868,10433.501,10786.367,11034.677,11392.223,11636.293
10069.77,10336.758,10625.977,10826.003,11115.49,11317.593
6448.9014,6852.3735,7285.09,7512.0986,7934.8403,8310.149
6456.7754,6860.8535,7294.1777,7521.1387,7944.7803,8320.617
7127.645,7099.1533,7086.7407,7079.4043,7085.901,7025.346
2509.2888,2528.52,2552.0293,2561.9,2587.8992,2614.4893
18610.25,18826.156,19036.79,19155.637,19397.385,19529.375
8194.985,8242.215,8323.519,8352.04,8431.02,8502.446
17969.744,19082.71,20294.09,21072.697,22368.746,23664.89
18670.953,20380.527,22452.621,23784.148,25846.77,27543.535
9030.186,9770.924,10628.496,11189.854,12090.961,12940.966
2766.9922,2979.5293,3238.3977,3403.0063,3654.7275,3928.018
12245.367,13427.782,14687.042,15512.504,16721.457,18144.025
2130.816,2270.6838,2406.8342,2489.3328,2621.1294,2753.991
10361.278,10653.9375,10975.154,11163.2295,11577.578,11835.857
10091.247,10206.142,10342.884,10410.372,10576.295,10712.861
10209.118,10478.941,10773.907,10974.326,11281.332,11579.149
10343.698,10537.261,10653.867,10742.354,11046.559,11177.021
11130.008,11927.732,12726.906,13777.463,14391.064,15128.008
10396.279,10917.2,11433.248,11773.437,12374.664,12910.158
13502.907,13851.485,14367.705,14657.512,15222.877,15602.648
10689.557,11076.718,11550.643,11866.968,12590.16,12972.064
10296.045,10648.306,11088.629,11448.139,11763.303,12114.686
10237.555,10379.218,10496.1045,10626.893,10746.791,10808.238
10175.902,10265.687,10256.903,10297.993,10369.501,10392.81
9992.89,10245.912,10421.203,10548.163,10839.902,10980.371
9987.859,10031.259,9995.073,10082.856,10094.742,10050.68
10611.402,10662.035,11057.26,11129.041,11402.248,11377.419
10263.237,10658.564,11006.228,11171.67,11592.086,12009.149
10134.872,10208.293,10345.778,10244.6045,10393.747,10666.799
10420.67,10418.085,10543.834,10546.472,10608.456,10813.345
10183.087,10186.136,10237.246,10251.071,10295.459,10369.621
10207.764,10224.219,10355.229,10326.732,10501.016,10572.063
10192.969,10388.278,10745.457,10886.312,11261.25,11470.59
10043.543,10492.728,10961.597,11294.817,11776.635,12103.869
5025.1465,5220.6733,5277.5854,5468.4,5657.294,5825.757
4335.115,4273.8857,4544.3677,4695.1904,4135.3613,4623.3584
4435.4927,4685.07,4863.594,5025.1235,5228.127,5408.3994
11438.842,11895.357,11955.277,12345.42,12855.793,12901.102
9633.265,10081.995,10549.405,10881.421,11362.807,11689.148
3694.4832,3699.6394,3706.3958,3703.1316,3713.2246,3708.2888
1553.1882,1595.2068,1644.0386,1678.2853,1698.6669,1738.3853
2785.6484,2839.9988,2947.2844,2997.7334,3127.7598,3201.7434
10485.258,10501.463,10538.62,10881.967,10775.315,10947.833
9782.116,10008.649,10130.421,10295.684,10433.452,10437.596
1198.1335,1392.7299,1478.572,1748.2087,1863.1001,1913.8838
6380.0454,6351.727,6562.118,6750.33,6751.014,6909.7793
7905.538,7986.463,8152.2305,8260.208,8359.842,8475.951
2011.7401,2048.3076,2071.24,2184.0474,2122.9438,2137.1838
8126.6143,8135.2505,8133.7275,8144.258,8147.0327,8157.7246
6735.592,6732.353,6723.197,6713.942,6711.941,6705.3965
6453.6157,6444.7876,6474.607,6477.537,6486.9316,6471.052
7363.93,7415.6406,7475.845,7504.1924,7561.3076,7620.927
6407.2056,6439.395,6442.8833,6445.6626,6490.806,6490.132
8713.379,8723.894,8751.114,8816.345,8826.605,8838.206
8113.7773,8173.422,8191.975,8204.7295,8295.106,8267.982
8368.907,8314.13,8304.737,8290.559,8192.7295,8282.682
1549.0381,1585.3425,1624.6558,1666.7247,1730.1273,1713.5931
9113.49,9159.751,9218.029,9288.36,9401.563,9375.04
3636.779,3707.5225,3763.7754,3797.6821,3871.1738,3899.3076
1783.5892,1809.2109,1821.96,1826.9781,1847.168,1890.9185
2110.0933,2110.5176,2084.9966,2077.9272,2105.8953,2108.483
2172.9922,2218.6707,2212.8271,2263.9485,2309.267,2296.0435
3114.061,3103.9888,3175.5627,3185.9468,3204.879,3200.602
1240.8271,1216.3083,1183.7446,1136.8164,1183.5051,1161.075
2518.0256,2559.2207,2545.2532,2612.5684,2657.9019,2585.9094
2017.4049,2012.3438,2016.914,2025.3912,2025.3125,2060.0676
2604.6936,2626.18,2567.9565,2557.7954,2540.2927,2554.4478
1204.6736,1201.434,1172.4125,1192.2262,1175.3114,1172.5472
1813.7489,1815.6024,1819.9226,1828.2874,1831.4209,1844.8243
1921.8079,1906.9478,1897.586,1884.7445,1885.5908,1889.604
1599.4897,1607.5134,1605.4656,1619.5181,1617.524,1620.5037
2143.19,2141.6716,2109.6086,2120.542,2107.3545,2107.0579
2281.4978,2327.092,2335.1946,2390.2583,2447.267,2531.195
1652.1182,1635.9817,1619.1576,1655.8502,1568.1355,1582.1084
2462.5747,2466.1133,2476.6326,2485.0063,2469.833,2491.3677
1917.8259,1952.7062,1990.8481,2060.1655,2063.19,2161.5278
3420.2856,3475.0537,3450.762,3590.1677,3511.7852,3536.7285
2193.9268,2219.0005,2232.9282,2277.8923,2285.3535,2348.1287
2304.245,2336.3696,2358.1484,2370.705,2416.7778,2435.7642
2377.963,2409.7637,2474.88,2531.2134,2603.4841,2601.7534
8043.9126,8026.8345,8024.325,8035.3657,8007.7085,7961.3735
4153.897,4248.545,4253.088,4179.7144,4484.846,4445.789
6990.3877,6973.621,6980.004,6964.842,7015.453,6950.755
9450.026,9483.526,9470.171,9479.921,9509.9,9539.758
3579.9248,3517.6165,3396.0088,3450.8381,3413.1538,3250.821
6796.37,6809.298,6814.2534,6825.2417,6842.7793,6844.31
8259.875,8277.087,8308.6045,8368.766,8360.095,8365.81
7241.8096,7239.6836,7238.8066,7238.449,7233.1553,7237.691
4766.877,5006.4316,5303.6465,5426.051,5714.5586,6041.7803
10915.778,11317.707,11860.778,12190.176,12752.445,13329.029
8443.442,8810.841,9184.396,9375.43,9922.381,10225.357
3406.631,3576.5312,3804.459,3961.0225,4229.4404,4410.9785
3320.3628,3445.1318,3567.8206,3652.8645,3774.2012,3912.412
11677.127,11821.316,12081.985,12318.136,12449.53,12590.508
10378.021,10777.419,11295.03,11610.945,12149.261,12558.151
6163.822,6380.207,6549.7046,6643.51,6786.6924,7021.833
4534.864,4824.0127,5068.8447,5274.2256,5527.2456,5818.2617
4716.77,4708.5327,4768.6226,4734.5986,4755.603,4829.3765
4523.0005,4743.898,4933.0356,5081.494,5203.0127,5491.0107
5151.3403,5314.4785,5523.113,5644.052,5827.1665,6060.3496
12852.281,13604.697,14210.691,14668.889,15287.081,15912.496
8488.707,8811.518,9143.5,9358.619,9669.437,9972.08
2247.0813,2377.1143,2507.0593,2592.1711,2722.1516,2863.7646
6718.1807,6823.693,6981.2275,7063.119,7152.3374,7327.423
2917.3452,3071.07,3216.817,3312.4333,3454.6973,3598.2925
8346.763,8556.834,8787.508,8905.829,9049.879,9339.543
2014.665,2100.4185,2134.8115,2164.0151,2224.5723,2295.4673
7833.08,7917.758,8242.151,8389.656,8550.31,8709.888
9658.754,9992.157,10409.616,10651.633,11046.216,11332.395
3206.8103,3201.9932,3224.3618,3166.9375,3208.838,3256.835
12590.555,13108.535,13680.93,14073.855,14680.691,15385.986
3256.7407,3371.5166,3480.8672,3553.7742,3663.7087,3789.4912
3158.425,3331.7783,3536.5737,3682.2354,3905.4114,4089.0347
3320.4873,3445.5083,3568.3794,3653.6248,3775.207,3913.7231
5196.415,5444.777,5728.7114,5882.743,6127.999,6402.6016
3046.485,3103.8694,3185.0515,3236.6604,3307.2292,3371.8525
9142.613,9210.259,9297.687,9333.723,9482.493,9478.026
11571.785,11998.277,12357.322,12658.459,13121.349,13509.588
3050.665,3170.5996,3313.0337,3405.6099,3571.8208,3685.1519
7085.4624,7205.9473,7332.324,7404.6294,7495.9717,7606.562
9446.619,9695.795,10146.401,10268.641,10514.682,10991.185
15240.324,16010.82,17105.512,17817.621,18466.395,19401.977
13684.865,14247.449,14671.752,14994.168,15434.223,15746.425
3307.4954,3416.5122,3556.844,3635.3745,3807.25,3934.0786
8687.988,9059.902,9504.485,9806.71,10235.326,10671.957
6537.2554,6782.0483,7071.287,7254.59,7561.085,7874.5156
3277.75,3415.2832,3593.1963,3723.0347,3917.2168,4061.3906
2055.6523,2058.269,2030.7161,2008.4061,2023.3865,2048.025
18275.121,18689.021,18953.82,19268.25,19584.104,19902.078
3219.1328,3312.703,3364.538,3422.3318,3511.7944,3570.1926
3538.6763,3580.0168,3602.4995,3624.998,3665.2246,3685.2957
1123.6375,1127.3417,1124.6796,1134.1001,1123.8142,1130.593
4051.1562,4244.5493,4447.7,4600.165,4812.225,4950.1113
1564.7213,1624.6263,1711.685,1776.6431,1802.2397,1866.3784
1912.3237,1920.4396,1934.8555,1929.9753,1946.6371,1975.1882
3880.7925,3974.606,4091.1445,4165.15,4189.2783,4299.7065
8818.55,9048.389,9371.134,9615.072,9883.882,10094.62
2214.1885,2264.1152,2313.6052,2352.4207,2404.7236,2448.8586
11594.637,11871.701,12172.592,12350.576,12641.596,12935.933
2018.5878,2048.8794,2077.399,2097.9287,2128.0242,2152.356
1347.0973,1343.5887,1336.5824,1337.2617,1330.805,1323.2535
2049.7117,2061.403,2070.8516,2077.983,2090.6436,2097.3206
4592.5107,4622.552,4651.0776,4670.726,4700.168,4724.2144
2227.133,2225.4558,2222.697,2223.132,2220.8777,2218.8613
9985.863,10119.781,10247.728,10337.438,10471.115,10578.408
7739.7266,7784.6685,8299.807,8170.574,8389.143,8956.591
3983.5564,4104.8477,4134.188,4134.931,4333.3613,4412.047
5226.622,5259.217,5318.866,5366.4834,5416.135,5553.86
11133.56,11287.744,11378.213,11351.628,11619.796,11998.725
8796.49,8868.344,9065.616,9018.708,9236.259,9386.053
11501.168,11632.5625,11833.438,11799.296,12200.082,12332.34
9979.952,10004.019,10233.405,10242.107,10408.533,10588.061
3280.1702,3280.705,3387.9348,3354.2651,3390.916,3453.6465
5561.8564,5583.2036,5581.9175,5541.216,5562.9146,5816.066
6717.201,6795.0454,6751.2456,6722.4634,6796.0195,6917.338
4333.742,4298.7607,4317.7017,4281.269,4297.4424,4364.8726
5162.758,5185.472,5311.9546,5374.7974,5404.6045,5368.1045
7769.029,7718.7104,7766.3623,7655.538,7632.2163,7734.295
5961.5225,6060.8535,6220.529,6242.463,6474.7734,7030.5913
11238.16,11410.787,11561.85,11430.504,11777.35,12119.816
3437.6023,3288.354,3150.1868,3036.9905,2910.6514,2983.8467
4719.7266,4728.2803,4781.489,4746.0366,4924.4067,4857.7173
3262.7017,3234.9204,3239.1465,3238.9348,3222.5276,3176.5312
8835.785,8907.817,9105.799,9058.694,9277.17,9427.214
6768.1377,6839.74,6964.919,6940.812,7200.5693,7220.3857
2970.0295,2976.9395,2988.7131,2977.2898,2992.6375,3035.2314
4788.617,4758.4336,4827.589,4783.4463,4908.896,4908.315
4345.743,4310.6743,4329.742,4293.204,4309.5635,4377.1143
5473.6865,5890.4673,7400.117,7700.1733,8824.246,9556.144
2873.7366,2894.1965,2882.1245,2866.317,2876.4578,2931.3528
7439.5913,7455.72,7496.296,7513.1143,7577.518,7554.8315
4616.4585,4655.203,4708.1455,4746.067,4886.934,4912.6914
2785.9937,2801.9753,2826.5974,2840.7822,2830.242,2899.539
8496.929,8694.469,9026.439,9251.459,9507.77,9929.089
1456.8588,1485.8866,1496.1094,1487.3953,1534.027,1581.7992
8058.269,8415.691,8743.557,8939.834,9277.403,9645.455
11641.438,11588.999,11771.614,11833.759,11858.601,11980.1875
1452.5153,1466.7365,1480.332,1468.8922,1500.1602,1512.4314
8882.639,8891.624,9374.036,8953.508,9367.231,9958.156
6798.381,6935.5596,7205.92,7216.7554,7461.027,7560.5527
10592.56,10665.551,11139.316,11016.193,11287.9375,11612.91
1157.4823,1171.9253,1199.5698,1198.6792,1233.2122,1241.055
9827.266,9991.099,10048.754,10001.875,10279.732,10649.657
4345.294,4223.5,4048.9668,3941.8005,3837.6223,3969.086
4324.607,4306.9243,4223.5327,4215.139,4180.139,4181.2563
4988.5005,5006.0205,5057.0015,5026.114,5037.9517,5111.992
1155.4287,1169.5839,1175.9673,1166.2538,1197.7822,1234.4749
4694.25,4737.227,4789.7075,4809.707,4864.127,4908.98
6379.1997,6371.595,6328.284,6316.2466,6316.4883,6364.721
9826.054,9934.525,9988.261,9925.379,10165.534,10501.049
7438.559,7442.392,7464.787,7433.7803,7454.4966,7516.445
7496.1255,7747.2207,7980.0522,8151.377,8409.423,8526.631
7064.1274,7136.5176,7296.2163,7395.295,7384.956,7498.288
3698.0967,3708.7466,3694.9675,3655.194,3687.0486,3751.7544
3382.4807,3363.7253,3445.9363,3430.2966,3454.9014,3568.2446
3807.0403,4077.269,4244.011,4408.621,4594.792,4861.453
6923.138,7414.0615,7814.2827,8090.0586,8583.586,9127.383
2556.6921,2569.0864,2607.8064,2640.526,2640.628,2706.767
4035.1667,4064.3057,4087.5022,4129.663,4143.7373,4154.4404
19285.426,20117.416,20906.012,21423.816,22193.984,22970.738
14999.229,15898.142,16511.652,17020.04,17670.266,18620.547
8012.9927,8355.057,8691.878,9311.096,9240.77,9686.677
9184.076,9628.481,10157.717,10509.561,11084.158,11548.744
6061.5957,6199.196,6363.242,6457.6943,6574.5034,6681.946
